EXTRACTO,TEMATICA
"De Fiscalización de la gestión económico-financiera de la Empresa Pública Canarias Cultura en Red, SA, de los ejercicios 2013, 2014 y 2015.",ASUNTOS FINANCIEROS
"Recaudación del IGIC, AIEM, impuestos especiales y tasas.",ASUNTOS FINANCIEROS
"Recaudación del IGIC, insularizado, de 2014 a 2017.",ASUNTOS FINANCIEROS
"Recaudación líquida por IGIC 2015.",ASUNTOS FINANCIEROS
"Ingresos públicos, modificaciones, ampliaciones presupuestarias y operaciones de financiación y/o endeudamiento acometidas para afrontar la crisis económica y sanitaria provocada por el COVID-19.",ASUNTOS FINANCIEROS
"Cantidades presupuestadas, invertidas y ejecutadas en estrategias de gestión, propaganda y promoción de los e-sports durante 2017 y 2018, y en especial al Cabildo de Tenerife.",ASUNTOS FINANCIEROS
"Autorización del gasto para la concesión de una aportación dineraria a la Sociedad Mercantil Pública Instituto Tecnológico de Canarias, SA, para la financiación de los gastos de siete proyectos innovadores a realizar en La Gomera.",ASUNTOS FINANCIEROS
"La subvención de 15.944 euros de los Presupuestos de la CAC en 2010 a la Federación Insular Colombófila de Tenerife.",ASUNTOS FINANCIEROS
"La subvención de 11.832 euros de los Presupuestos de la CAC en 2011 a la Federación Insular Colombófila de Tenerife.",ASUNTOS FINANCIEROS
"Del Consejo Escolar de Canarias, sobre el incremento de la financiación del sistema educativo canario para 2022.",ASUNTOS FINANCIEROS
"Programas y proyectos a financiar por el Fondo de Desarrollo de Canarias.",ASUNTOS FINANCIEROS
"Las partidas destinadas a financiar la dependencia en 2014 y 2015.",ASUNTOS FINANCIEROS
"Convenio de colaboración con el Banco Santander para líneas de crédito especiales para financiar proyectos.",ASUNTOS FINANCIEROS
"Convenio de colaboración con la Caixabank para líneas de crédito especiales para financiar proyectos.",ASUNTOS FINANCIEROS
"El convenio con Cajasiete para financiar proyectos de modernización turística y facilitar el crédito a las pymes por 25 millones, dirigida al Gobierno.",ASUNTOS FINANCIEROS
"Importe previsto para invertir en la red de riego de La Florida, El Hierro.",ASUNTOS FINANCIEROS
"Importe previsto a invertir en la red de riego de Masilva, El Hierro.",ASUNTOS FINANCIEROS
"Países en los que está previsto invertir y hacer promoción de Canarias en 2020, dirigida a la Sra. consejera de Turismo, Industria y Comercio.",ASUNTOS FINANCIEROS
"Aumento presupuestario a Cultura para 2018.",ASUNTOS FINANCIEROS
"Liquidación y equilibrio de los presupuestos de inversión entre las islas, ejercicios presupuestarios 1999 a 2002.",ASUNTOS FINANCIEROS
"Ajuste presupuestario en gastos de los Presupuestos Generales de la CAC para 2008.",ASUNTOS FINANCIEROS
"-Consejero de Agricultura, Ganadería, Pesca y Aguas-, sobre Fondos Extrapresupuestarios a gestionar en 2013.",ASUNTOS FINANCIEROS
"El déficit y recortes presupuestarios, dirigida al Gobierno.",ASUNTOS FINANCIEROS
"Ejecución presupuestaria al cierre presupuestario en el ejercicio 2016, dirigida al Sr. Consejero de Sanidad.",ASUNTOS FINANCIEROS
"Estudio relativo al coste que sorporta la economía canaria derivado de la ultraperiferia y doble insularidad.",ECONOMÍA
"La estrategia de economía circular del Gobierno.",ECONOMÍA
"Subida de impuestos, dirigida al Sr. Consejero de Economía y Hacienda.",ECONOMÍA
"El Programa de Acciones Sectoriales e Inversiones para la economía productiva de La Palma.",ECONOMÍA
"La alerta del Banco de España sobre la economía de las familias isleñas, dirigida al Sr. Presidente del Gobierno.",ECONOMÍA
"Renta básica para los parados sin prestaciones.",ECONOMÍA
"Importe del dinero que corresponde a Canarias de los 21.300 millones asignados a España de los fondos Sure va a ir destinado a la ayuda a los autónomos, dirigida a la Sra. consejera de Economía, Conocimiento y Empleo.",ECONOMÍA
"De Fiscalización de los expedientes de subvenciones y aportaciones dinerarias pendientes de justificar y/o de exigencia de reintegros, hasta el 2 de abril de 2018.",ECONOMÍA
"Autorización del gasto de la convocatoria de subvenciones en concurrencia competitiva Canarias Fortaleza.",ECONOMÍA
"Dinero destinado como ayudas a las familias para el acceso a plazas de educación infantil en 2019, 2020, 2021 y 2022, especificando cantidades por año.",ECONOMÍA
"Reforma estructural ante la crisis económica, dirigida al Gobierno.",ECONOMÍA
"Medidas que se están tomando para actuar contra la economía sumergida, dirigida a la Sra. consejera de Economía, Conocimiento y Empleo.",ECONOMÍA
"Del Ayuntamiento de la Villa de Garafía, el proyecto de Ley de renta ciudadana.",ECONOMÍA
"De renta de ciudadanía como garantía de ingresos mínimos.",ECONOMÍA
"Importe previsto para invertir en la red de riego de La Florida, El Hierro. ",ECONOMÍA
"Gasto plurianual nº 839/2006.",ECONOMÍA
"Gastos de Capital Consolidados, dirigida al Gobierno.",ECONOMIA
"Las previsiones presupuestarias del Gobierno teniendo en cuenta los efectos de la inflación, dirigida a la Presidencia del Gobierno.",ECONOMÍA
"Las medidas activadas para contrarrestar la inflación, dirigida al Gobierno.",ECONOMÍA
"El aumento de la inflación en 2005, dirigida al Sr. Consejero de Economía y Hacienda.",ECONOMÍA
"El aumento de la inflación en 2005, dirigida al Sr. Consejero de Economía y Hacienda.",ECONOMÍA
"Reforma estructural ante la persistencia de la crisis económica, dirigida al Gobierno.",ECONOMÍA
"Medidas de austeridad dada la situación de crisis económica, dirigida al Sr. Director General de Radiotelevisión Canaria.",ECONOMÍA
"Creación de un servicio de información respecto a las ayudas públicas para personas, familias y empresas afectadas por la crisis económica.",ECONOMÍA
"Medidas para salir de la crisis económica.",ECONOMÍA
"Reforma estructural ante la crisis económica, dirigida al Gobierno.",ECONOMÍA
"Reforma estructural ante la persistencia de la crisis económica, dirigida al Gobierno.",ECONOMÍA
"Propuesta de reforma del Régimen Económico y Fiscal, dirigida al Sr. Consejero de Economía, Hacienda y Seguridad.",ECONOMÍA
"La estructura económica de la CAC del Plan Canarias.",ECONOMÍA
"Las expectativas económicas respecto del paro estructural, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ECONOMÍA
"-Consejero de Agricultura, Ganadería, Pesca y Aguas-, sobre la caída del peso del sector primario en la estructura económica de Canarias.",ECONOMÍA
"Balance de la situación económica, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",ECONOMÍA
"Situación económica de Cartográfica de Canarias, dirigida al Gobierno.",ECONOMÍA
"Situación de asfixia económica de los Ayuntamientos.",ECONOMÍA
"La situación económica de los Cabildos y Ayuntamientos en 2011 respecto a la financiación que aporta la CAC.",ECONOMÍA
"La situación económica de Canarias.",ECONOMÍA
"Datos de la situación económica actual de La Palma en comparación con los datos de Canarias.",ECONOMÍA
"De medidas tributarias incentivadoras de la actividad económica.",ECONOMÍA
"Real Decreto-Ley de medidas de impulso a la actividad económica.",ECONOMÍA
"Simplificación de procedimientos para facilitar la actividad económica, dirigida al Sr. Consejero de Economía y Hacienda.",ECONOMÍA
"Renta per cápita de los municipios turísticos, dirigida a la Sra. Consejera de Turismo, Cultura y Deportes.",ECONOMÍA
"El Sector Primario en Canarias.",ECONOMÍA
"Reactivación del sector primario, dirigida a la Sra. Consejera de Agricultura, Ganadería, Pesca y Alimentación.",ECONOMÍA
"Medidas del Plan Canarias con respecto al sector primario.",ECONOMÍA
"Las ayudas al sector primario y criterios de reparto.",ECONOMÍA
"La mejora de la competitividad de la economía, dirigida al Sr. Consejero de Economía y Hacienda.",ECONOMÍA
"Racionalización y mejora de la gestión del gasto público, dirigida al Sr. Consejero de Economía y Hacienda.",ECONOMÍA
"Lucha contra la economía sumergida, dirigida al Sr. Presidente del Gobierno.",ECONOMÍA
"Proyectos para luchar contra la economía sumergida, dirigida a la Sra. Consejera de Empleo, Políticas Sociales y Vivienda.",ECONOMÍA
"Afloramiento de la economía sumergida, dirigida al Gobierno.",ECONOMÍA
"Evolución de los ingresos en el ejercicio económico 2009.",ECONOMÍA
"Del Gobierno, sobre la gravedad de la coyuntura económica a la que nos enfrentamos.",ECONOMÍA
"Los niveles de renta familiar.",ECONOMÍA
"De la renta de la ciudadanía de Canarias.",ECONOMÍA
"El umbral de renta disponible en los hogares canarios, dirigida al Gobierno.",ECONOMÍA
"Creación de una comisión de investigación.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Actuaciones en Investigación, Desarrollo e Innovación Tecnológica, dirigida al Sr. Consejero de Empleo, Industria y Comercio.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Difusión de la investigación científica y tecnológica por medio de la producción propia de programas de televisión.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Programa de actividades del la Semana de la Innovación y Ciencia 2022.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"El Plan Integrado Canario de Investigación, Desarrollo e Innovación (I+D+I).",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Política en relación con la infraestructura de telefonía móvil, dirigida al Sr. Consejero de Presidencia e Innovación Tecnológica.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Proyectos de innovación e investigación, dirigida al Sr. Consejero de Educación, Universidades y Sostenibilidad.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Producción de patentes españolas y europeas por la Agencia Canaria de Investigación, Desarrollo y Sociedad de la Innovación de 2012 a 2015.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Patentes convocadas por la Agencia Canaria de Investigación, Desarrollo y Sociedad de la Innovación de 2012 a 2015.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Plan de investigación, desarrollo e innovación en ejecución, dirigida a la Sra. Consejera de Empleo, Industria y Comercio.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Creación de la Agencia Canaria de Innovación, dirigida al Sr. Consejero de Empleo, Industria y Comercio.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"La investigación, desarrollo e innovación en la estructura productiva, dirigida al Sr. Presidente del Gobierno.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Proyectos relacionados con la innovación turística en la convocatoria de ayudas a la I+D+i, dirigida al Sr. Consejero de Empleo, Industria y Comercio.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Proyectos de I+D+i vinculados al COVID-19, dirigida al Gobierno.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Medidas que se están adoptando junto con las universidades canarias para impulsar el tejido de I+D+i, dirigida a la Sra. consejera de Economía, Conocimiento y Empleo.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Programa de actuaciones en I+D+i para 2021.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"El Plan Integrado Canario de Investigación, Desarrollo e Innovación (I+D+I).",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"I+d+i, programas de Fomento de Investigación Técnica y estímulos fiscales.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Memoria de las actividades de investigación Científica y Desarrollo Tecnológico y sobre el Plan Integrado Canario de I+D+i+d 2007-2010.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Patentes registradas en 2016, dirigida al Gobierno.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Patentes registradas en 2015, dirigida al Sr. Consejero de Economía, Industria, Comercio y Conocimiento.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"La liberación de las patentes de las vacunas COVID-19 para su acceso universal.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Memoria de la Agencia Canaria de Investigación 2009.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Organigrama de la Fundación Canaria de Prevención e Investigación de las Drogodependencias.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Fundaciones para la investigación sobre la enfermedad del Alzheimer, dirigida a la Sra. Consejera de Sanidad.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"La convocatoria pública para apoyo a Proyectos de I+D+I a grupos de investigación y empresas.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Investigación científica, dirigida al Sr. Consejero de Educación, Cultura y Deportes.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Plan de choque específico para la prevención, tratamiento e investigación de la diabetes.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Investigación en ciencias del espacio, física y matemáticas, dirigida al Gobierno.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Investigación en productos y procesos químicos, dirigida al Gobierno.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Proyectos de investigación subvencionados, dirigida a la Sra. Consejera de Industria, Comercio y Nuevas Tecnologías.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"De Ordenación del Sistema Canario de Investigación y Desarrollo Tecnológico",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Fecha de puesta en funcionamiento de los parques tecnológicos.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"El Parque Tecnológico de Fuerteventura.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Solicitud al Gobierno del Estado en relación con medios tecnológicos para las personas con discapacidad.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Instalación de medios tecnológicos radioterápicos en diferentes islas.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Memoria de las actividades de investigación científica y desarrollo tecnológico y del Plan de Choque de I+D+I.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"De Ordenación del Sistema Canario de Investigación y Desarrollo Tecnológico.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Estrategia de Ciencia y Tecnología.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Acceso a las nuevas tecnologías en La Gomera, dirigida al Gobierno.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Convenio con la Fundación Caja Rural de Canarias para investigar la arteriosclerosis, dirigida a la Sra. Consejera de Sanidad.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Investigaciones en curso en el ámbito del Patrimonio Cultural en Canarias.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Investigaciones desarrolladas en el ámbito del Patrimonio Cultural en Canarias.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Colaboración con el Consejo Superior de Investigaciones Científicas en materia de volcanología, dirigida al Sr. Consejero de Medio Ambiente y Ordenación Territorial.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Expediente y conclusiones de las investigaciones realizadas en el Permiso de Investigación LA MOLINA, en relación con las Montañetas de Tebeto, Fuerteventura.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Las nuevas tecnologías y el comercio electrónico, dirigida al Sr. Consejero de Turismo.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Aplicación de las nuevas tecnologías en las Pymes y autónomos, dirigida a la Sra. Consejera de Industria, Comercio y Nuevas Tecnologías.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"El Estatuto del Personal Investigador en Formación, dirigida al Gobierno. ",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Apoyo a los jóvenes investigadores, dirigida al Gobierno.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Creación de una comisión de investigación.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Del Sr. consejero de Sanidad, sobre las mejoras prioritarias y necesarias a llevar a cabo tras la pandemia de la COVID-19 en la investigación biomédica.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"De promoción y desarrollo de la investigación científica y la innovación.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"El uso de las nuevas tecnologías.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"La actividad comercial de las nuevas tecnologías.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Desarrollo de tecnologías específicas para el sector turístico, dirigida a la Sra. Consejera de Turismo.",PRODUCCIÓN; TECNOLOGÍA E INVESTIGACIÓN
"Difusión de derechos y obligaciones de pasajeros en la Unión Europea, dirigida al Gobierno.",DERECHO
"Derechos de tanteo y retracto en viviendas protegidas, dirigida al Sr. Consejero de Infraestructuras, Transportes y Vivienda.",DERECHO
"Defensa de los derechos humanos.",DERECHO
"Los Derechos del Niño.",DERECHO
"Cobertura por jueces titulares de plazas vacantes en los órganos judiciales, dirigida al Sr. Consejero de Presidencia e Innovación Tecnológica.",DERECHO
"órganos jurisdiccionales cubiertos por jueces de carrera, dirigida al Gobierno.",DERECHO
"La formación de jueces, fiscales y secretarios, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",DERECHO
"Modificación de la Ley de Renovación y Modernización Turística de Canarias.",DERECHO
"Solicitud de una ley de salud bucodental en Canarias.",DERECHO
"Defensa de los afectados por la Ley de Costas.",DERECHO
"De modificación de la Ley 1/1997, de 7 de febrero, de Atención Integral a los Menores.",DERECHO
"El Juzgado de lo Penal Nº 5 para los asuntos de violencia de género, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",DERECHO
"Del Parlamento Vasco, sobre modificación del Código Penal para despenalizar el suicidio asistido.",DERECHO
"El derecho a los servicios sociales.",DERECHO
"El derecho a la vivienda.",DERECHO
"Apoyo institucional de Canarias en la defensa del Estado de Derecho en Cataluña.",DERECHO
"Protección y defensa de la libertad de expresión y la dignidad humana.",DERECHO
"Informes remitidos por Aviación Civil relativos a la Quinta Libertad.",DERECHO
"De representante de presos políticos de Venezuela, ante la Comisión de Asuntos Europeos y Acción Exterior, sobre garantías democráticas y derechos civiles y políticos en Venezuela.",DERECHO
"Personas privadas de libertad y de derechos civiles en Venezuela.",DERECHO
"Restablecimiento del derecho al sueldo de los meses de verano que se les recortó con motivos de la crisis económica a los docentes interinos, dirigida a la Sra. Consejera de Educación y Universidades.",DERECHO
"Del Cabildo Insular de Lanzarote, sobre tramitación de una nueva Ley de Bienestar Animal.",DERECHO
"Dictamen al Anteproyecto de Ley para la modificación de la Ley 1/2007, reguladora de la Prestación Canaria de Inserción, dirigida a la Sra. Consejera de Cultura, Deportes, Políticas Sociales y Vivienda.",DERECHO
"Petición de reconocimiento del derecho de persona en situación de dependencia Grado I, nivel 1 y 2, dirigida a la Sra. Consejera de Bienestar Social, Juventud y Vivienda.",DERECHO
"Sentencia que reconoce el derecho de los trabajadores del Consorcio Sanitario de Tenerife en el Hospital Universitario de Canarias al uso de aparcamiento, dirigida a la Sra. Consejera de Sanidad.",DERECHO
"Iniciativas de reconocimiento internacional del derecho a la paz.",DERECHO
"El derecho de los diputados a recabar datos, informes y documentos del Gobierno.",DERECHO
"Solicitud de ley para sancionar anuncios ilegales de alquiler vacacional.",DERECHO
"Expedientes sancionadores a establecimientos turísticos que alojen inmigrantes que hayan llegado irregularmente a Canarias, dirigida al Gobierno.",DERECHO
"Estado del procedimiento selectivo del Cuerpo Superior Facultativo, Especialidad de Arquitectos Grupo A, Subgrupo A1, turno de promoción interna, dirigida al Sr. consejero de Administraciones Públicas, Justicia y Seguridad.",DERECHO
"El cumplimiento de las leyes, dirigida al Sr. Vicepresidente del Gobierno y Consejero de Obras Públicas y Transportes.",DERECHO
"Incumplimiento de leyes, dirigida al Sr. Vicepresidente del Gobierno.",DERECHO
"Leyes y sentencias de Consejos de Guerra a partir de 19 de julio de 1936.",DERECHO
"La Sentencia del Juzgado de lo Contencioso Administrativo Nº 1 de Santa Cruz de Tenerife sobre la Moción de Censura en el Cabildo Insular de El Hierro, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",DERECHO
"La sentencia del Tribunal Supremo relativa a la declaración de área urbana del núcleo poblacional de La Santa, dirigida al Gobierno.",DERECHO
"Sentencias condenatorias por violencia de género en Lanzarote, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",DERECHO
"Sentencias condenatorias pendientes de pago.",DERECHO
"última acta de la Comisión Canaria por el Derecho a la Identidad.",DERECHO
"Normas de desarrollo de la Ley Orgánica 4/2001, de 12 de noviembre, reguladora del derecho de petición.",DERECHO
"Los derechos de los ciudadanos en el Pacto para la reforma de la Justicia, dirigida al Gobierno.",DERECHO
"Protección y defensa de la libertad de expresión y la dignidad humana.",DERECHO
"La libertad de expresión, dirigida al Sr. Consejero de Sanidad.",DERECHO
"Del Ayuntamiento de Teror, sobre la Ley de protección de la seguridad ciudadana.",DERECHO
"Dictámenes del Consejo Consultivo en la interposición de recursos de inconstitucionalidad contra leyes estatales, dirigida al Gobierno.",DERECHO
"Sentencias condenando a VISOCAN por demandas interpuestas por trabajadores de esta empresa.",DERECHO
"Sentencias condenatorias por violencia de género en La Palma, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",DERECHO
"Sentencias condenatorias por violencia de género en Tenerife, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",DERECHO
"Sentencias condenatorias por violencia de género en Gran Canaria, dirigida al Sr. Consejero de Presidencia, Justicia e Igualdad.",DERECHO
"Sentencias condenatorias.",DERECHO
"Sentencias condenatorias pendientes de pago.",DERECHO
"El Palacio de Justicia de Las Palmas de Gran Canaria.",DERECHO
"Situación de la Administración de Justicia en Lanzarote.",DERECHO
"Tribunal Superior de Justicia de Canarias.",DERECHO
"La Memoria de la Fiscalía del Tribunal Superior de Justicia de Canarias 2005, en materia de menores en reforma.",DERECHO
"El Palacio de Justicia en Las Palmas de Gran Canaria, dirigida al Gobierno.",DERECHO
"Del Suelo de Canarias.",MEDIO AMBIENTE
"Residuos almacenados en el complejo medio-ambiental de Zonzamas, dirigida al Sr. Consejero de Medio Ambiente y Ordenación Territorial.",MEDIO AMBIENTE
"Medidas de prevención en la degradación del medio marino con basura plástica que genera microplásticos que pueden incorporarse a la cadena alimentaria y afectar negativamente a la salud humana y a la seguridad alimentaria.",MEDIO AMBIENTE
"Propuesta de Reglamento del Parlamento Europeo y del Consejo sobre la restauración de la naturaleza. COM(2022) 304 final.",MEDIO AMBIENTE
"Solicitud de modificación del artículo 64.2 de la Ley 4/2017, de 13 de julio, del Suelo y de los Espacios Naturales Protegidos de Canarias.",MEDIO AMBIENTE
"La tramitación de las Normas de Conservación del Monumento Natural F-6, Monumento Natural de Montaña de Tindaya.",MEDIO AMBIENTE
"Ejecución de proyectos de inversión en municipios con Parques Naturales y Rurales.",MEDIO AMBIENTE
"Grado de ejecución del proyecto 99712907, Áreas de influencia de Parques Naturales y Rurales, Tenerife, de los Presupuestos de la Comunidad Autónoma para 1999, dirigida al Sr. Consejero de Política Territorial y Medio Ambiente.",MEDIO AMBIENTE
"Vertederos de basura ilegales en la Comarca Noroeste de Gran Canaria.",MEDIO AMBIENTE
"Niveles de contaminación en Canarias por años, dirigida al Sr. consejero de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial.",MEDIO AMBIENTE
"Medidas de protección por el alto grado de contaminación ambiental por calima los días 22 y 23 de febrero de 2020, dirigida a la Sra. consejera de Sanidad.",MEDIO AMBIENTE
"Actuaciones para solucionar el problema de la contaminación por plásticos de los invernaderos abandonados, dirigida al Sr. consejero de Transición Ecológica, Lucha contra el Cambio Climático y Planificación Territorial.",MEDIO AMBIENTE
"Nivel de contaminación atmosférica por isla.",MEDIO AMBIENTE
"Actuaciones para recuperar el suelo sepultado por la lava y su futura calificación como suelo agrario o para otros usos, dirigida a la Presidencia del Gobierno.",MEDIO AMBIENTE
"Inventario de emplazamientos con actividades potencialmente contaminantes del suelo.",MEDIO AMBIENTE
"Formulario Informe Preliminar de Situación del Suelo.",MEDIO AMBIENTE
"La escasez de agua que sufre el sector primario, dirigida a la Sra. consejera de Agricultura, Ganadería y Pesca.",MEDIO AMBIENTE
"Acciones ante la situación crítica del sector primario por la escasez de agua e instalaciones de riego, dirigida a la Sra. consejera de Agricultura, Ganadería y Pesca.",MEDIO AMBIENTE
